Symbol,Dzieñ,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,nie,nie
2644.N,D,19990409,83.07,83.07,83.07,83.07,0,0
2644.N,D,19990412,83.46,83.46,83.46,83.46,0,0
2644.N,D,19990413,82.65,82.65,82.65,82.65,0,0
2644.N,D,19990414,82.48,82.48,82.48,82.48,0,0
2644.N,D,19990415,82.85,82.85,82.85,82.85,0,0
2644.N,D,19990416,85.29,85.29,85.29,85.29,0,0
2644.N,D,19990419,86.35,86.35,86.35,86.35,0,0
2644.N,D,19990420,86.6,86.6,86.6,86.6,0,0
2644.N,D,19990421,87.94,87.94,87.94,87.94,0,0
2644.N,D,19990422,87.89,87.89,87.89,87.89,0,0
2644.N,D,19990423,88.11,88.11,88.11,88.11,0,0
2644.N,D,19990426,87.89,87.89,87.89,87.89,0,0
2644.N,D,19990427,86.49,86.49,86.49,86.49,0,0
2644.N,D,19990428,85.75,85.75,85.75,85.75,0,0
2644.N,D,19990429,86.9,86.9,86.9,86.9,0,0
2644.N,D,19990430,88.65,88.65,88.65,88.65,0,0
2644.N,D,19990504,87.23,87.23,87.23,87.23,0,0
2644.N,D,19990505,87.58,87.58,87.58,87.58,0,0
2644.N,D,19990506,87.41,87.41,87.41,87.41,0,0
2644.N,D,19990507,86.79,86.79,86.79,86.79,0,0
2644.N,D,19990510,86.33,86.33,86.33,86.33,0,0
2644.N,D,19990511,86.4,86.4,86.4,86.4,0,0
2644.N,D,19990512,85.9,85.9,85.9,85.9,0,0
2644.N,D,19990513,86,86,86,86,0,0
2644.N,D,19990514,84.65,84.65,84.65,84.65,0,0
2644.N,D,19990517,86.82,86.82,86.82,86.82,0,0
2644.N,D,19990518,88.47,88.47,88.47,88.47,0,0
2644.N,D,19990519,88.68,88.68,88.68,88.68,0,0
2644.N,D,19990520,89.24,89.24,89.24,89.24,0,0
2644.N,D,19990521,89.23,89.23,89.23,89.23,0,0
2644.N,D,19990524,88.26,88.26,88.26,88.26,0,0
2644.N,D,19990525,88.74,88.74,88.74,88.74,0,0
2644.N,D,19990526,89.86,89.86,89.86,89.86,0,0
2644.N,D,19990527,88.33,88.33,88.33,88.33,0,0
2644.N,D,19990528,88.65,88.65,88.65,88.65,0,0
2644.N,D,19990531,88.81,88.81,88.81,88.81,0,0
2644.N,D,19990601,89.6,89.6,89.6,89.6,0,0
2644.N,D,19990602,90.47,90.47,90.47,90.47,0,0
2644.N,D,19990604,90.47,90.47,90.47,90.47,0,0
2644.N,D,19990607,90.18,90.18,90.18,90.18,0,0
2644.N,D,19990608,90.72,90.72,90.72,90.72,0,0
2644.N,D,19990609,92.28,92.28,92.28,92.28,0,0
2644.N,D,19990610,94.22,94.22,94.22,94.22,0,0
2644.N,D,19990611,95.23,95.23,95.23,95.23,0,0
2644.N,D,19990614,95.18,95.18,95.18,95.18,0,0
2644.N,D,19990615,94.83,94.83,94.83,94.83,0,0
2644.N,D,19990616,95.72,95.72,95.72,95.72,0,0
2644.N,D,19990617,96.1,96.1,96.1,96.1,0,0
2644.N,D,19990618,96.84,96.84,96.84,96.84,0,0
2644.N,D,19990621,97.05,97.05,97.05,97.05,0,0
2644.N,D,19990622,96.37,96.37,96.37,96.37,0,0
2644.N,D,19990623,96.57,96.57,96.57,96.57,0,0
2644.N,D,19990624,96.93,96.93,96.93,96.93,0,0
2644.N,D,19990625,97.88,97.88,97.88,97.88,0,0
2644.N,D,19990628,97.26,97.26,97.26,97.26,0,0
2644.N,D,19990629,96.81,96.81,96.81,96.81,0,0
2644.N,D,19990630,98.41,98.41,98.41,98.41,0,0
2644.N,D,19990701,99.02,99.02,99.02,99.02,0,0
2644.N,D,19990702,99.65,99.65,99.65,99.65,0,0
2644.N,D,19990705,99.53,99.53,99.53,99.53,0,0
2644.N,D,19990706,98.78,98.78,98.78,98.78,0,0
2644.N,D,19990707,99.23,99.23,99.23,99.23,0,0
2644.N,D,19990708,99.51,99.51,99.51,99.51,0,0
2644.N,D,19990709,100.42,100.42,100.42,100.42,0,0
2644.N,D,19990712,99.38,99.38,99.38,99.38,0,0
2644.N,D,19990713,99.25,99.25,99.25,99.25,0,0
2644.N,D,19990714,99.97,99.97,99.97,99.97,0,0
2644.N,D,19990715,99.89,99.89,99.89,99.89,0,0
2644.N,D,19990716,99.55,99.55,99.55,99.55,0,0
2644.N,D,19990719,98.69,98.69,98.69,98.69,0,0
2644.N,D,19990720,96.62,96.62,96.62,96.62,0,0
2644.N,D,19990721,97.3,97.3,97.3,97.3,0,0
2644.N,D,19990722,96.72,96.72,96.72,96.72,0,0
2644.N,D,19990723,97.11,97.11,97.11,97.11,0,0
2644.N,D,19990726,96.15,96.15,96.15,96.15,0,0
2644.N,D,19990727,97.37,97.37,97.37,97.37,0,0
2644.N,D,19990728,98,98,98,98,0,0
2644.N,D,19990729,98.11,98.11,98.11,98.11,0,0
2644.N,D,19990730,98.96,98.96,98.96,98.96,0,0
2644.N,D,19990802,99.51,99.51,99.51,99.51,0,0
2644.N,D,19990803,98.84,98.84,98.84,98.84,0,0
2644.N,D,19990804,98.46,98.46,98.46,98.46,0,0
2644.N,D,19990805,98.38,98.38,98.38,98.38,0,0
2644.N,D,19990806,97.14,97.14,97.14,97.14,0,0
2644.N,D,19990809,96.18,96.18,96.18,96.18,0,0
2644.N,D,19990810,95.59,95.59,95.59,95.59,0,0
2644.N,D,19990811,96.69,96.69,96.69,96.69,0,0
2644.N,D,19990812,96.59,96.59,96.59,96.59,0,0
2644.N,D,19990813,96.99,96.99,96.99,96.99,0,0
2644.N,D,19990816,96.43,96.43,96.43,96.43,0,0
2644.N,D,19990817,96.48,96.48,96.48,96.48,0,0
2644.N,D,19990818,96.43,96.43,96.43,96.43,0,0
2644.N,D,19990819,96.37,96.37,96.37,96.37,0,0
2644.N,D,19990820,97.12,97.12,97.12,97.12,0,0
2644.N,D,19990823,97.95,97.95,97.95,97.95,0,0
2644.N,D,19990824,98.46,98.46,98.46,98.46,0,0
2644.N,D,19990825,99.97,99.97,99.97,99.97,0,0
2644.N,D,19990826,99.21,99.21,99.21,99.21,0,0
2644.N,D,19990827,100,100,100,100,0,0
2644.N,D,19990830,99.14,99.14,99.14,99.14,0,0
2644.N,D,19990831,99.13,99.13,99.13,99.13,0,0
